mt,btu,bt,bet,p,ph,rt,asc,ad,e,pt,target
1,0,1,87.51,0.09,6.5,70,0.58,1,1,25,4.45
14,1,62,3.92,0.01,5.86,20,5,0.6,2,450,4.486
2,0,3,56.64,0.15,6.5,25,1,0.2,0.67,180,4.5
14,0,68,320.1,0.139,7,40,1.793,2,1,650,4.537
18,0,73,8.6,3.8,6,25,84.59,0.2,24,25,4.55
14,0,33,208,0.144,3,25,8.95,1,24,620,4.56
7,0,14,20,0.058,2,25,12.05,0.4,4,110,4.57
14,0,68,320.1,0.139,7,40,2.414,2,1,650,4.573
14,1,60,3.1,0.01,7.2,20,5,0.6,5.042,70,4.593
14,0,25,20.1,0.1,7.1,21.5,5.3,1,48,900,4.61
14,0,68,320.1,0.139,7,40,3.18,2,1,650,4.61
14,1,60,3.1,0.01,7.2,20,5,0.6,23.95,70,4.618
2,0,3,56.64,0.15,6.5,25,1,0.2,1,180,4.64
14,1,60,3.1,0.01,7.2,20,5,0.6,17.96,70,4.643
14,1,60,3.1,0.01,7.2,20,5,0.6,1.996,70,4.668
14,0,26,20.1,0.1,7.1,21.5,0.18,1,48,900,4.7
14,0,33,208,0.144,2,25,26.8,1,24,620,4.72
2,0,3,56.64,0.15,6.5,25,1,0.2,1.33,180,4.76
19,0,74,63.6,0.381,6.8,25,0.04,1,24,60,4.77
2,0,3,56.64,0.15,6.5,25,1,0.2,1.67,180,4.78
14,1,60,3.1,0.01,7.2,20,5,0.6,7.983,70,4.794
14,1,60,3.1,0.01,7.2,20,5,0.6,11.97,70,4.819
14,0,50,390.91,0.6261,6,30,10,2,24,700,4.832
14,0,27,20.1,0.1,7.1,21.5,25,1,24.2,900,4.85
14,0,39,30.89,0.081,7,25,50,6,6,600,4.858
13,0,22,27.04,0.016,7,45,4.37,1,2,500,4.88
14,0,49,188.31,0.2918,6,30,10,2,24,700,4.882
18,0,73,8.6,3.8,6,25,92.21,0.2,24,25,4.94
17,0,20,317.07,0.381,9,25,20.5,20,24,25,4.95
14,0,33,208,0.144,6,25,16.4,1,24,620,4.97
3,0,4,114,0.56,7,25,0.13,0.14,1.737571429,90,5.08
14,0,65,516.67,0.2433,7,25,40,2,0.181,700,5.105
14,0,33,208,0.144,5,25,15.8,1,24,620,5.11
14,1,62,3.92,0.01,7.2,20,5,0.6,1.996,450,5.146
13,0,22,27.04,0.016,7,30,4.23,1,2,500,5.24
13,0,22,27.04,0.016,7,45,6.65,1,2,500,5.25
14,1,62,3.92,0.01,7.2,20,5,0.6,11.97,450,5.271
14,0,33,208,0.144,4,25,15.1,1,24,620,5.28
14,0,68,320.1,0.139,7,25,20,2,0.0668,650,5.327
